City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
326,San Policarpo,PH,80.55,scattered clouds,12.1791,125.5072,Agapita M. Nicart
327,Itarema,BR,78.46,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
331,Padang,ID,78.42,overcast clouds,-0.9492,100.3543,Mercure Padang
337,Cairns,AU,76.06,light intensity shower rain,-16.9167,145.7667,Mantra Trilogy Cairns
343,Russell,US,77.13,scattered clouds,32.3502,-85.1999,Macs
345,Zhanakorgan,KZ,79.52,broken clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
346,Auki,SB,78.42,overcast clouds,-8.7676,160.7034,Auki Motel
348,Pandan,PH,79.56,few clouds,14.0453,124.1694,Bonifacio Lodge
349,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
352,Harper,LR,79.48,overcast clouds,4.375,-7.7169,Screensaver
357,Saint George,US,83.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
362,Acarau,BR,79.2,light rain,-2.8856,-40.12,castelo pizzaria
363,Balabac,PH,81.99,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
365,Jasper,US,80.65,few clouds,37.2001,-94.3502,Guest House Motel
366,Lodwar,KE,89.51,clear sky,3.1191,35.5973,Solmar Gracious Hotel
371,Anito,PH,78.33,few clouds,12.4497,125.2886,El Felix Cottages
374,Varzea Grande,BR,89.47,clear sky,-15.6467,-56.1325,Hotel Express
389,Lekoni,GA,79.72,scattered clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
393,Radhanpur,IN,85.95,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
396,Mogadishu,SO,82.2,light rain,2.0371,45.3438,Hotel Juba
399,Maunabo,PR,89.29,overcast clouds,18.0072,-65.8993,Maunacaribe
403,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
405,Tomatlan,MX,87.67,clear sky,19.9333,-105.25,El Salvial
414,Tual,ID,83.41,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
420,Delhi,IN,87.89,haze,28.6667,77.2167,Maidens Hotel
