City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Airai,TL,-8.9266,125.4092,58.6,91,51,4.32,broken clouds
166,Chuy,UY,-33.6971,-53.4616,64.96,68,5,4.47,clear sky
167,Bosaso,SO,11.2842,49.1816,83.82,71,4,1.59,clear sky
168,Ankang,CN,32.68,109.0172,62.31,87,100,3.47,overcast clouds
169,Geraldton,AU,-28.7667,114.6,55.81,94,0,4.61,clear sky
170,Katsuura,JP,35.1333,140.3,61.0,68,100,11.43,overcast clouds
171,Bahia Blanca,AR,-38.7196,-62.2724,76.55,30,1,7.87,clear sky
172,Buala,SB,-8.145,159.5921,80.38,85,100,7.92,light rain
173,Ola,RU,59.5833,151.2833,32.4,81,59,8.25,broken clouds
174,Meadow Lake,US,34.8014,-106.5436,87.71,12,4,23.67,clear sky
175,Pisco,PE,-13.7,-76.2167,73.45,64,36,19.57,dust
176,Coquimbo,CL,-29.9533,-71.3436,62.33,67,100,5.75,overcast clouds
177,Kibala,TD,9.1104,18.3463,89.55,62,0,0.0,clear sky
178,Teahupoo,PF,-17.8333,-149.2667,78.76,78,52,11.52,broken clouds
179,Pacific Grove,US,36.6177,-121.9166,62.28,69,40,18.41,scattered clouds
180,Talaya,RU,61.3833,152.75,22.57,86,46,5.39,scattered clouds
181,Lagoa,PT,39.05,-27.9833,61.81,80,58,10.2,broken clouds
182,Sept-Iles,CA,50.2001,-66.3821,48.72,44,20,16.11,few clouds
183,Saskylakh,RU,71.9167,114.0833,9.66,94,95,14.03,overcast clouds
184,Kapaa,US,22.0752,-159.319,79.12,78,20,12.66,few clouds
185,Chokurdakh,RU,70.6333,147.9167,11.35,85,58,7.85,broken clouds
186,Dhidhdhoo,MV,6.8833,73.1,84.87,71,88,17.38,overcast clouds
187,Husavik,IS,66.0449,-17.3389,42.17,91,100,2.57,overcast clouds
188,Meulaboh,ID,4.1363,96.1285,77.18,90,100,3.94,moderate rain
189,Sunbury,AU,-37.5833,144.7333,48.56,94,20,5.75,few clouds
190,Taree,AU,-31.9,152.4667,48.13,93,0,6.91,clear sky
191,Cayenne,GF,4.9333,-52.3333,86.04,15,75,14.97,broken clouds
192,Zeya,RU,53.75,127.2667,42.01,42,100,4.83,overcast clouds
193,Gwanda,ZW,-20.9333,29.0,68.4,45,50,6.29,scattered clouds
194,Bilma,NE,18.6853,12.9164,95.25,10,100,4.79,overcast clouds
195,Yulara,AU,-25.2406,130.9889,51.64,37,100,8.05,overcast clouds
196,Dodge City,US,37.7528,-100.0171,83.68,51,0,4.0,clear sky
197,Tuatapere,NZ,-46.1333,167.6833,51.03,93,100,3.33,light rain
198,Mahon,ES,39.8885,4.2658,63.16,63,20,3.44,few clouds
199,Pula,HR,44.8683,13.8481,59.56,77,0,4.61,clear sky
200,New Norfolk,AU,-42.7826,147.0587,42.3,79,45,2.66,scattered clouds
201,Constanta,RO,44.1833,28.65,46.71,82,13,4.29,few clouds
202,Barrow,US,71.2906,-156.7887,21.22,86,100,12.66,mist
203,Lagunas,PE,-5.2269,-75.6753,82.85,85,42,1.32,scattered clouds
204,Vao,NC,-22.6667,167.4833,74.28,61,94,16.53,overcast clouds
205,San Vicente,AR,-26.6167,-54.1333,67.77,57,1,2.55,clear sky
206,Wagar,SD,16.1525,36.2032,89.17,23,0,16.04,clear sky
207,Upernavik,GL,72.7868,-56.1549,20.86,77,87,6.42,overcast clouds
208,Sokoni,TZ,-6.4333,39.55,80.46,77,100,16.04,overcast clouds
209,Mount Isa,AU,-20.7333,139.5,65.97,68,56,6.91,broken clouds
210,Ostrovnoy,RU,68.0531,39.5131,27.41,80,25,5.77,scattered clouds
211,Acari,PE,-15.4311,-74.6158,77.95,51,32,8.61,scattered clouds
212,Atocha,BO,-20.9333,-66.2333,53.2,14,2,32.28,clear sky
213,Nurota,UZ,40.5614,65.6886,78.69,30,1,6.87,clear sky
214,San Juan,AR,-31.5375,-68.5364,74.75,28,100,10.78,overcast clouds
215,Kamenka,RU,51.3223,42.7678,49.33,49,0,0.27,clear sky
216,Kushmurun,KZ,52.4503,64.6311,50.94,36,44,9.15,scattered clouds
217,Andradina,BR,-20.8961,-51.3794,83.77,35,0,2.35,clear sky
218,Columbus,US,39.9612,-82.9988,68.32,36,0,11.5,clear sky
219,Beringovskiy,RU,63.05,179.3167,32.54,76,53,11.14,broken clouds
220,Waingapu,ID,-9.6567,120.2641,78.8,82,19,10.49,few clouds
221,Eyl,SO,7.9803,49.8164,83.57,78,29,12.53,scattered clouds
222,Constitucion,CL,-35.3333,-72.4167,57.38,80,100,4.07,overcast clouds
223,Punta De Bombon,PE,-17.1717,-71.7931,68.5,76,24,10.27,few clouds
224,Cherskiy,RU,68.75,161.3,20.68,94,100,9.46,light snow
225,Inyonga,TZ,-6.7167,32.0667,68.34,71,100,4.21,overcast clouds
